export id,app settings,dataset,dataset id,ROI Name,Channel Identifier,Raw Channel Identifier,id,x,y,Number of localisations,Skew,Circularity,Density (nm^-2),Area (nm^2),Discretised area (nm^2),Radius of gyration (nm),Length (nm),Count Type,Counts in Channel 1,Counts in Channel 2,Positivity in Channel 1,Positivity in Channel 2
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78299,1096.3208,7228.508,28,1.3483543,0.41853446,0.002088642,13405.84,8400,58.306564,117.31294,binned,18,2,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78298,4135.2134,10311.948,33,2.0091856,0.5892122,0.004397234,7504.7188,6000,36.56327,120.287704,binned,14,2,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78297,4418.037,10758.108,27,1.1015234,0.80156773,0.010069314,2681.414,4000,20.612627,48.204536,binned,9,0,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78296,1495.9452,8909.92,20,1.7301924,0.6807427,0.004101762,4875.953,4800,32.21654,120.247345,binned,12,0,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78292,41148.95,65106.656,140,3.1750731,0.581584,0.00046408,301672,38000,219.71178,871.79663,binned,30,1,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78291,40671.9,63710.65,21,1.7997512,0.7243383,5.91E-05,355585.94,7200,280.99872,997.50854,binned,1,9,FALSE,TRUE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78284,1916.0391,12479.576,41,1.9816135,0.7566702,0.012034379,3406.9062,4800,26.384403,82.32713,binned,12,0,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78283,2283.947,13298.141,40,1.2834617,0.62140936,0.007327475,5458.9062,5200,26.727955,71.30255,binned,13,0,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78282,4756.067,13345.081,48,2.1980722,0.71045184,0.002963237,16198.5,8800,48.196304,191.77133,binned,18,2,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78281,5025.5723,12239.506,66,1.8163146,0.70046484,0.00514289,12833.25,12400,42.676018,161.21564,binned,15,14,TRUE,TRUE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78278,27729.332,16615.191,28,1.4141774,0.8471559,0.006915181,4049.0625,5200,26.311327,67.3703,binned,11,0,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78277,28076.936,15532.31,48,1.2811912,0.88014793,0.003816936,12575.531,10000,43.302822,125.02382,binned,26,1,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78276,12862.803,6622.6206,95,1.2519623,0.8171153,0.001105014,85971.8,30000,123.872475,326.73022,binned,12,37,TRUE,TRUE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78275,13265.077,6413.9194,35,1.4016393,0.82333386,0.005018264,6974.5234,6800,31.835302,96.314896,binned,15,0,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78271,3663.8125,11382.106,36,3.4663496,0.3901476,0.00045703,78769.375,7200,212.02898,690.39215,binned,11,0,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78265,4867.637,14708.426,31,1.4340949,0.6460599,0.000263669,117571.875,8800,192.90742,433.32642,binned,4,0,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78264,6733.67,5582.175,44,1.3605881,0.8325126,0.002555538,17217.508,10800,52.040512,153.14786,binned,19,4,TRUE,TRUE
